"","X","Order","Family","Species","CVal_Mean","Chrom._Mean","CVal_Median","Chrom._Median"
"136",136,"Torpediniformes","Narcinidae","Benthobatis moresbyi",7.37,NA,7.37,NA
"137",137,"Torpediniformes","Narcinidae","Crassinarke dormitor",12.04,NA,12.04,NA
"138",138,"Torpediniformes","Narcinidae","Narcine brasiliensis",4.2,28,4.2,28
"139",139,"Torpediniformes","Torpedinidae","Torpedo californica",7.3,82,7.3,82
"140",140,"Torpediniformes","Torpedinidae","Torpedo marmorata",7,NA,7,NA
"141",141,"Torpediniformes","Torpedinidae","Torpedo nobiliana",7.06,NA,7.06,NA
"142",142,"Torpediniformes","Torpedinidae","Torpedo torpedo",7.56666666666667,NA,7.5,NA
